"";"CODE_ACT";"CODE_ACTION";"action4_tri";"action4_id";"action4_lib";"action_4";"action3_tri";"action3_id";"action3_lib";"action_3";"action2_tri";"action2_id";"action2_lib";"action_2";"action1_tri";"action1_id";"action1_lib";"action_1"
"41";"JTI-BBI-CSA";"AD";"JD";"JTI-BBI-CSA";"Coordination and Support action";"JTI-BBI-CSA - Coordination and Support action";"JD";"JTI-BBI-CSA";"Coordination and Support action";"JTI-BBI-CSA - Coordination and Support action";"JD";"JTI-BBI-CSA";"Coordination and Support action";"JTI-BBI-CSA - Coordination and Support action";"J";"JTI-BBI";"JTI Bio-based Industries";"JTI-BBI - JTI Bio-based Industries"
"42";"CSA-LSP";"DB";"CB";"CSA-LSP";"Coordination and support action Lump sum";"CSA-LSP - Coordination and support action Lump sum";"CB";"CSA-LSP";"Coordination and support action Lump sum";"CSA-LSP - Coordination and support action Lump sum";"CB";"CSA-LSP";"Coordination and support action Lump sum";"CSA-LSP - Coordination and support action Lump sum";"C";"CSA";"Coordination and support action";"CSA - Coordination and support action"
"43";"EuroHPC-RIA";"GA";"IIA";"EuroHPC-RIA";"EuroHPC-RIA";"EuroHPC-RIA - EuroHPC-RIA";"IIA";"EuroHPC-RIA";"EuroHPC-RIA";"EuroHPC-RIA - EuroHPC-RIA";"IIA";"EuroHPC-RIA";"EuroHPC-RIA";"EuroHPC-RIA - EuroHPC-RIA";"II";"EuroHPC";"EuroHPC";"EuroHPC - EuroHPC"
"44";"JTI-Shift2Rail-IA";"WA";"PB";"JTI-Shift2Rail-IA";"Innovation action";"JTI-Shift2Rail-IA - Innovation action";"PB";"JTI-Shift2Rail-IA";"Innovation action";"JTI-Shift2Rail-IA - Innovation action";"PB";"JTI-Shift2Rail-IA";"Innovation action";"JTI-Shift2Rail-IA - Innovation action";"P";"JTI-Shift2Rail";"Shift2Rail";"JTI-Shift2Rail - Shift2Rail"
"45";"JTI-SESAR-CSA";"VC";"OC";"JTI-SESAR-CSA";"Coordination and Support Action";"JTI-SESAR-CSA - Coordination and Support Action";"OC";"JTI-SESAR-CSA";"Coordination and Support Action";"JTI-SESAR-CSA - Coordination and Support Action";"OC";"JTI-SESAR-CSA";"Coordination and Support Action";"JTI-SESAR-CSA - Coordination and Support Action";"O";"JTI-SESAR";"Single European Sky Air Traffic Management Research";"JTI-SESAR - Single European Sky Air Traffic Management Research"
"46";"JTI-SESAR-IA";"VA";"OB";"JTI-SESAR-IA";"Innovation action";"JTI-SESAR-IA - Innovation action";"OB";"JTI-SESAR-IA";"Innovation action";"JTI-SESAR-IA - Innovation action";"OB";"JTI-SESAR-IA";"Innovation action";"JTI-SESAR-IA - Innovation action";"O";"JTI-SESAR";"Single European Sky Air Traffic Management Research";"JTI-SESAR - Single European Sky Air Traffic Management Research"
"47";"IA-LS";"KA";"BA";"IA-LS";"Innovation action Lump Sum";"IA-LS - Innovation action Lump Sum";"BA";"IA-LS";"Innovation action Lump Sum";"IA-LS - Innovation action Lump Sum";"BA";"IA-LS";"Innovation action Lump Sum";"IA-LS - Innovation action Lump Sum";"B";"IA";"Innovation action";"IA - Innovation action"
"48";"JTI-Shift2Rail-IA-LS";"WAA";"PBA";"JTI-Shift2Rail-IA-LS";"Innovation Action Lump-Sum";"JTI-Shift2Rail-IA-LS - Innovation Action Lump-Sum";"PBA";"JTI-Shift2Rail-IA-LS";"Innovation Action Lump-Sum";"JTI-Shift2Rail-IA-LS - Innovation Action Lump-Sum";"PB";"JTI-Shift2Rail-IA";"Innovation action";"JTI-Shift2Rail-IA - Innovation action";"P";"JTI-Shift2Rail";"Shift2Rail";"JTI-Shift2Rail - Shift2Rail"
"49";"JTI-BBI-IA-FLAG";"AB";"JC";"JTI-BBI-IA-FLAG";"Innovation action - Flagship";"JTI-BBI-IA-FLAG - Innovation action - Flagship";"JC";"JTI-BBI-IA-FLAG";"Innovation action - Flagship";"JTI-BBI-IA-FLAG - Innovation action - Flagship";"JC";"JTI-BBI-IA-FLAG";"Innovation action - Flagship";"JTI-BBI-IA-FLAG - Innovation action - Flagship";"J";"JTI-BBI";"JTI Bio-based Industries";"JTI-BBI - JTI Bio-based Industries"
"50";"JTI-IMI2-CSA";"LC";"ND";"JTI-IMI2-CSA";"Coordination & support action";"JTI-IMI2-CSA - Coordination & support action";"ND";"JTI-IMI2-CSA";"Coordination & support action";"JTI-IMI2-CSA - Coordination & support action";"ND";"JTI-IMI2-CSA";"Coordination & support action";"JTI-IMI2-CSA - Coordination & support action";"N";"JTI-IMI2";"JTI Innovative Medicines Initiative";"JTI-IMI2 - JTI Innovative Medicines Initiative"
"51";"SGA-RIA";"SB";"HB";"SGA-RIA";"Research and Innovation action";"SGA-RIA - Research and Innovation action";"HB";"SGA-RIA";"Research and Innovation action";"SGA-RIA - Research and Innovation action";"HB";"SGA-RIA";"Research and Innovation action";"SGA-RIA - Research and Innovation action";"H";"SGA";"Specific Grant agreement";"SGA - Specific Grant agreement"
"52";"COFUND-PCP";"BC";"FC";"COFUND-PCP";"Pre-Commercial Procurement";"COFUND-PCP - Pre-Commercial Procurement";"FC";"COFUND-PCP";"Pre-Commercial Procurement";"COFUND-PCP - Pre-Commercial Procurement";"FC";"COFUND-PCP";"Pre-Commercial Procurement";"COFUND-PCP - Pre-Commercial Procurement";"F";"COFUND";"Co-funding of regional, national and international programmes";"COFUND - Co-funding of regional, national and international programmes"
"53";"MSCA-SNLS";"OE";"EE";"MSCA-SNLS";"Grant to identified beneficiary - Coordination and support actions (MSCA-Special Needs lump sum)";"MSCA-SNLS - Grant to identified beneficiary - Coordination and support actions (MSCA-Special Needs lump sum)";"EE";"MSCA-SNLS";"Grant to identified beneficiary - Coordination and support actions (MSCA-Special Needs lump sum)";"MSCA-SNLS - Grant to identified beneficiary - Coordination and support actions (MSCA-Special Needs lump sum)";"EE";"MSCA-SNLS";"Grant to identified beneficiary - Coordination and support actions (MSCA-Special Needs lump sum)";"MSCA-SNLS - Grant to identified beneficiary - Coordination and support actions (MSCA-Special Needs lump sum)";"E";"MSCA";"Marie Sklodowska-Curie actions";"MSCA - Marie Sklodowska-Curie actions"
"54";"JTI-CS2-CSA";"CC";"KC";"JTI-CS2-CSA";"Coordination and support action";"JTI-CS2-CSA - Coordination and support action";"KC";"JTI-CS2-CSA";"Coordination and support action";"JTI-CS2-CSA - Coordination and support action";"KC";"JTI-CS2-CSA";"Coordination and support action";"JTI-CS2-CSA - Coordination and support action";"K";"JTI-CS2";"JTI Clean Sky 2";"JTI-CS2 - JTI Clean Sky 2"
